timestamp_server_local, utilization_gpu_percent, memory_used_mib, power_draw_w, temperature_c
2026/07/30 12:44:14.883, 0, 0, 61.28, 33
2026/07/30 12:44:19.990, 0, 0, 61.01, 33
2026/07/30 12:44:25.027, 15, 23673, 67.82, 33
2026/07/30 12:44:30.076, 59, 24107, 139.01, 37
2026/07/30 12:44:35.162, 76, 24207, 159.17, 39
2026/07/30 12:44:40.229, 71, 24207, 164.76, 40
2026/07/30 12:44:45.261, 61, 24233, 164.10, 42
2026/07/30 12:44:50.333, 61, 24233, 133.82, 40
2026/07/30 12:44:55.429, 78, 24271, 172.45, 42
2026/07/30 12:45:00.488, 61, 24271, 164.43, 41
2026/07/30 12:45:05.548, 68, 24311, 167.35, 42
2026/07/30 12:45:10.602, 68, 24313, 165.64, 43
2026/07/30 12:45:15.640, 68, 24313, 325.15, 46
2026/07/30 12:45:20.692, 72, 24313, 175.21, 44
2026/07/30 12:45:25.790, 67, 24313, 164.86, 44
2026/07/30 12:45:30.895, 67, 24313, 168.41, 44
2026/07/30 12:45:35.933, 67, 24313, 168.74, 44
2026/07/30 12:45:41.004, 66, 24313, 174.60, 44
2026/07/30 12:45:46.107, 68, 24313, 164.59, 45
2026/07/30 12:45:51.184, 67, 24313, 164.76, 45
2026/07/30 12:45:56.262, 68, 24313, 291.61, 45
2026/07/30 12:46:01.362, 68, 24313, 169.18, 46
2026/07/30 12:46:06.430, 69, 24313, 235.03, 47
2026/07/30 12:46:11.484, 69, 24313, 170.56, 46
2026/07/30 12:46:16.543, 61, 24313, 171.50, 46
2026/07/30 12:46:21.641, 62, 24313, 160.55, 46
2026/07/30 12:46:26.697, 67, 24315, 173.05, 46
2026/07/30 12:46:31.774, 83, 24527, 250.06, 52
2026/07/30 12:46:36.832, 74, 24595, 374.22, 53
2026/07/30 12:46:41.883, 76, 24595, 367.26, 52
2026/07/30 12:46:46.948, 90, 24595, 176.43, 51
2026/07/30 12:46:52.022, 64, 24595, 172.45, 50
2026/07/30 12:46:57.122, 87, 24595, 167.02, 52
2026/07/30 12:47:02.226, 93, 24595, 181.96, 52
2026/07/30 12:47:07.295, 88, 24631, 180.41, 54
2026/07/30 12:47:12.399, 86, 24631, 180.89, 55
2026/07/30 12:47:17.455, 75, 24631, 172.27, 54
2026/07/30 12:47:22.545, 89, 24669, 186.00, 53
2026/07/30 12:47:27.646, 66, 24669, 187.82, 56
2026/07/30 12:47:32.698, 92, 24669, 379.12, 55
2026/07/30 12:47:37.752, 83, 24669, 182.10, 54
2026/07/30 12:47:42.822, 70, 24669, 184.45, 53
2026/07/30 12:47:47.872, 69, 24669, 394.51, 60
2026/07/30 12:47:52.933, 68, 24669, 176.76, 54
2026/07/30 12:47:58.030, 70, 24669, 377.36, 58
2026/07/30 12:48:03.084, 77, 24669, 178.74, 55
2026/07/30 12:48:08.142, 80, 24669, 173.49, 56
2026/07/30 12:48:13.238, 65, 24669, 378.63, 58
2026/07/30 12:48:18.338, 89, 24669, 193.15, 56
2026/07/30 12:48:23.415, 81, 24669, 175.64, 55
2026/07/30 12:48:28.468, 91, 24669, 181.69, 56
2026/07/30 12:48:33.567, 87, 24669, 403.19, 57
2026/07/30 12:48:38.625, 77, 24669, 386.52, 59
2026/07/30 12:48:43.679, 75, 24669, 185.39, 56
2026/07/30 12:48:48.736, 89, 24669, 394.58, 60
2026/07/30 12:48:53.792, 73, 24669, 179.34, 56
2026/07/30 12:48:58.874, 94, 24669, 185.06, 57
2026/07/30 12:49:03.946, 75, 24669, 403.72, 61
2026/07/30 12:49:09.020, 75, 24669, 185.39, 56
2026/07/30 12:49:14.186, 71, 24669, 186.88, 56
2026/07/30 12:49:19.268, 74, 24669, 175.98, 56
2026/07/30 12:49:24.337, 74, 24669, 185.81, 57
2026/07/30 12:49:29.387, 75, 24669, 163.21, 58
2026/07/30 12:49:34.447, 89, 24669, 183.32, 57
2026/07/30 12:49:39.542, 70, 24669, 194.10, 57
2026/07/30 12:49:44.597, 74, 24669, 388.46, 60
2026/07/30 12:49:49.702, 75, 24669, 400.96, 60
2026/07/30 12:49:54.753, 74, 24669, 187.35, 57
2026/07/30 12:49:59.844, 82, 24669, 187.03, 58
2026/07/30 12:50:04.917, 78, 24669, 393.57, 62
2026/07/30 12:50:09.967, 73, 24669, 186.88, 57
2026/07/30 12:50:15.044, 82, 24669, 238.44, 60
2026/07/30 12:50:20.124, 74, 24669, 173.49, 57
2026/07/30 12:50:25.236, 76, 24669, 189.18, 58
2026/07/30 12:50:30.293, 93, 24669, 185.81, 59
2026/07/30 12:50:35.351, 86, 24669, 187.35, 59
2026/07/30 12:50:40.426, 69, 24669, 187.63, 57
2026/07/30 12:50:45.460, 66, 24669, 229.45, 59
2026/07/30 12:50:50.518, 83, 24669, 407.41, 62
2026/07/30 12:50:55.618, 67, 24669, 388.13, 61
2026/07/30 12:51:00.672, 68, 24669, 172.27, 59
2026/07/30 12:51:05.744, 64, 24669, 169.78, 57
2026/07/30 12:51:10.818, 0, 539, 94.52, 53
2026/07/30 12:51:15.867, 72, 16843, 199.34, 55
2026/07/30 12:51:20.918, 100, 539, 97.28, 52
