timestamp_server_local, utilization_gpu_percent, memory_used_mib, power_draw_w, temperature_c
2026/07/30 12:34:16.760, 0, 0, 60.68, 32
2026/07/30 12:34:21.821, 0, 0, 60.68, 32
2026/07/30 12:34:26.921, 19, 23673, 68.09, 32
2026/07/30 12:34:31.994, 63, 24205, 134.70, 36
2026/07/30 12:34:37.051, 57, 24207, 153.97, 37
2026/07/30 12:34:42.126, 57, 24233, 156.40, 37
2026/07/30 12:34:47.218, 57, 24273, 140.09, 39
2026/07/30 12:34:52.311, 64, 24273, 158.29, 39
2026/07/30 12:34:57.385, 72, 24313, 167.19, 41
2026/07/30 12:35:02.447, 65, 24313, 167.52, 40
2026/07/30 12:35:07.539, 66, 24313, 161.17, 41
2026/07/30 12:35:12.633, 65, 24313, 164.43, 41
2026/07/30 12:35:17.682, 65, 24313, 165.37, 42
2026/07/30 12:35:22.744, 66, 24313, 167.19, 42
2026/07/30 12:35:27.821, 81, 24313, 163.04, 44
2026/07/30 12:35:32.871, 79, 24313, 167.52, 44
2026/07/30 12:35:37.924, 68, 24313, 171.17, 44
2026/07/30 12:35:43.018, 64, 24313, 161.17, 44
2026/07/30 12:35:48.071, 66, 24313, 164.10, 44
2026/07/30 12:35:53.128, 68, 24315, 167.52, 44
2026/07/30 12:35:58.183, 64, 24315, 166.86, 44
2026/07/30 12:36:03.238, 66, 24315, 163.32, 45
2026/07/30 12:36:08.296, 66, 24315, 166.25, 45
2026/07/30 12:36:13.351, 66, 24315, 168.74, 45
2026/07/30 12:36:18.442, 66, 24315, 170.29, 45
2026/07/30 12:36:23.496, 66, 24315, 167.96, 46
2026/07/30 12:36:28.551, 82, 24595, 172.12, 48
2026/07/30 12:36:33.622, 78, 24595, 332.55, 51
2026/07/30 12:36:38.676, 79, 24595, 283.97, 50
2026/07/30 12:36:43.740, 70, 24595, 178.40, 50
2026/07/30 12:36:48.791, 74, 24595, 179.20, 50
2026/07/30 12:36:53.851, 73, 24595, 173.49, 52
2026/07/30 12:36:58.922, 69, 24595, 173.66, 51
2026/07/30 12:37:04.022, 69, 24631, 178.92, 53
2026/07/30 12:37:09.118, 79, 24631, 159.62, 52
2026/07/30 12:37:14.172, 69, 24631, 167.52, 52
2026/07/30 12:37:19.229, 69, 24669, 187.22, 52
2026/07/30 12:37:24.330, 73, 24669, 377.91, 57
2026/07/30 12:37:29.407, 83, 24669, 190.92, 54
2026/07/30 12:37:34.478, 69, 24669, 182.29, 53
2026/07/30 12:37:39.555, 77, 24669, 392.36, 58
2026/07/30 12:37:44.630, 76, 24669, 184.73, 54
2026/07/30 12:37:49.726, 76, 24669, 182.90, 56
2026/07/30 12:37:54.779, 75, 24669, 179.62, 56
2026/07/30 12:37:59.836, 72, 24669, 382.94, 57
2026/07/30 12:38:04.907, 89, 24669, 187.82, 56
2026/07/30 12:38:10.002, 77, 24669, 175.64, 55
2026/07/30 12:38:15.074, 87, 24669, 178.40, 55
2026/07/30 12:38:20.139, 74, 24669, 185.47, 55
2026/07/30 12:38:25.172, 89, 24669, 187.96, 57
2026/07/30 12:38:30.212, 78, 24669, 387.12, 59
2026/07/30 12:38:35.265, 75, 24669, 183.42, 56
2026/07/30 12:38:40.321, 88, 24669, 415.92, 62
2026/07/30 12:38:45.394, 74, 24669, 178.83, 56
2026/07/30 12:38:50.471, 93, 24669, 163.93, 55
2026/07/30 12:38:55.532, 75, 24669, 183.65, 56
2026/07/30 12:39:00.603, 74, 24669, 174.24, 52
2026/07/30 12:39:05.680, 78, 24669, 178.40, 51
2026/07/30 12:39:10.741, 87, 24669, 187.55, 51
2026/07/30 12:39:15.792, 89, 24669, 187.22, 53
2026/07/30 12:39:20.831, 78, 24669, 181.77, 53
2026/07/30 12:39:25.903, 89, 24669, 179.20, 52
2026/07/30 12:39:30.961, 74, 24669, 160.72, 53
2026/07/30 12:39:36.050, 89, 24669, 216.25, 55
2026/07/30 12:39:41.130, 74, 24669, 183.05, 53
2026/07/30 12:39:46.222, 74, 24669, 184.45, 54
2026/07/30 12:39:51.280, 84, 24669, 183.51, 55
2026/07/30 12:39:56.340, 78, 24669, 396.66, 59
2026/07/30 12:40:01.392, 75, 24669, 182.38, 55
2026/07/30 12:40:06.470, 73, 24669, 399.82, 61
2026/07/30 12:40:11.542, 74, 24669, 184.45, 56
2026/07/30 12:40:16.596, 74, 24669, 382.55, 59
2026/07/30 12:40:21.655, 74, 24669, 180.89, 56
2026/07/30 12:40:26.749, 90, 24669, 200.76, 57
2026/07/30 12:40:31.846, 68, 24669, 399.69, 61
2026/07/30 12:40:36.946, 74, 24669, 181.77, 56
2026/07/30 12:40:42.026, 73, 24669, 182.57, 56
2026/07/30 12:40:47.103, 66, 24669, 180.74, 57
2026/07/30 12:40:52.195, 89, 24669, 180.56, 58
2026/07/30 12:40:57.270, 74, 24669, 183.65, 57
2026/07/30 12:41:02.349, 75, 24669, 184.45, 60
2026/07/30 12:41:07.422, 13, 3537, 74.50, 51
2026/07/30 12:41:12.471, 44, 16819, 129.78, 50
2026/07/30 12:41:17.546, 75, 16843, 199.62, 54
